Gauge,25yr,50yr,100yr,25yr_a31,50yr_a31,100yr_a31,25yr_b31,50yr_b31,100yr_b31,25yr_mnsn,50yr_mnsn,100yr_mnsn,25yr_mnsn_b31,50yr_mnsn_b31,100yr_mnsn_b31
13,75.3637301477933,90.19025670026282,106.66663816663952,67.36614285659064,78.86700370119404,91.61899578782518,82.51990977211867,99.19840245742492,117.48964491942114,80.46137507130348,98.295277452751,118.36895867276094,90.0751042299824,110.45766701308236,132.99123999592646
14,77.6916969530075,91.20637081189292,105.7744972732359,76.55819427653813,89.8641977537486,104.25035981072106,78.22869143826819,91.87355220605158,106.54661379273114,82.52552680844349,99.03585594110544,117.12678980553022,85.28794776834083,102.3895814236913,121.01880583460672
15,73.73475715695406,87.24676857038712,102.59447459181256,70.59068197855926,81.66492734499508,93.41560639556013,77.91101228564747,93.7211581003356,112.21994547030924,78.8863656100262,95.75825056705912,115.6880621137542,84.48806456177486,104.83632217972152,130.02789441297892
16,77.74126612571509,93.04621013320676,110.18007145924328,73.08773863266282,85.14370561084888,98.07663156187549,82.72367111283502,100.71716055234378,120.80260739530294,85.31009358568845,105.426622723383,128.3972945924815,91.10846027481554,113.50889584787406,138.51565417561625
17,73.02879543830281,85.34569938650971,98.5056743864093,71.37390283762491,83.38224322191418,96.34192904391737,74.28793827258458,86.74255048765991,99.96148130439246,79.15315640635748,94.99953344875117,112.21128806830436,81.58999188244552,97.55176962767028,114.78291955922424
18,80.08341713962763,93.95258593332554,108.85033290898882,76.15415228811733,89.13901502858465,103.20378309413299,83.21896755134244,97.6398123979136,113.02897751221018,86.60622882431237,103.89355984116962,122.85975049464786,91.32083106085912,109.05137037747136,128.29525075565277
19,79.6332430524075,93.27850610105024,107.98249586898736,75.11566137794496,87.43442422376678,100.78888415317189,83.33453178996577,97.84232538726268,113.35015231973492,84.49585007495203,100.90349916726905,118.91922882399815,88.77644610359748,105.65087691340892,123.902327140123
20,79.57522760574511,93.3309385527641,108.09646399879382,78.34909409927448,91.42754569027166,105.44961355407052,80.27403402753154,94.61132084559014,109.99249978800758,82.05177225329214,97.98733556762936,115.5382175645289,82.24844278236209,97.74333304922828,114.4436330513828
21,75.20408012886409,89.09251275635746,104.59601268900444,69.08198574823744,79.60862167950347,90.66477420470359,82.0931715689211,98.56969561918032,116.95066116791816,81.29799095169628,98.67787948768932,118.51371991497612,89.52371814079162,109.78065087932714,132.69964213501964
22,76.58693465546975,90.52239712831802,106.03286087560032,69.35451734121129,80.65391789992164,92.69409731039087,83.45778312561944,99.21421984811552,117.01611741667668,83.92117415242976,101.7099790413753,121.83494280597074,91.58465295954116,111.74164609382169,135.0237529490708
23,74.78367842391815,87.40155311948732,101.06424866404969,69.67189363633723,80.05115254982579,91.0203523588366,79.6261504155853,93.79800017996877,109.11592581398725,82.55389697100352,98.99159322083533,117.1319214878703,89.07717689043352,107.53961208708152,127.9821981603446
